model,split_type,acc,auc,f1,prec,recall,spec
baseline_logistic_regression,cv_fold_1,0.75,0.43727598566308234,0.16666666666666666,0.3333333333333333,0.1111111111111111,
baseline_logistic_regression,cv_fold_2,0.75,0.5125448028673836,0.16666666666666666,0.3333333333333333,0.1111111111111111,
baseline_logistic_regression,cv_fold_3,0.75,0.36200716845878134,0.0,0.0,0.0,
baseline_logistic_regression,cv_fold_4,0.775,0.4014336917562724,0.0,0.0,0.0,
baseline_logistic_regression,cv_fold_5,0.75,0.5433333333333333,0.2857142857142857,0.5,0.2,
baseline_logistic_regression,cv_mean,0.755,0.4513189964157706,0.12380952380952381,0.2333333333333333,0.08444444444444445,
baseline_lstm,cv_fold_1,0.575,0.3189964157706093,0.0,0.0,0.0,
baseline_lstm,cv_fold_2,0.675,0.5878136200716846,0.23529411764705882,0.25,0.2222222222222222,
baseline_lstm,cv_fold_3,0.7,0.4265232974910394,0.3333333333333333,0.3333333333333333,0.3333333333333333,
baseline_lstm,cv_fold_4,0.725,0.44086021505376344,0.35294117647058826,0.375,0.3333333333333333,
baseline_lstm,cv_fold_5,0.725,0.7000000000000001,0.42105263157894735,0.4444444444444444,0.4,
baseline_lstm,cv_mean,0.6799999999999999,0.49483870967741933,0.26852425180598555,0.28055555555555556,0.2577777777777778,
baseline_random_forest,cv_fold_1,0.775,0.5752688172043011,0.0,0.0,0.0,
baseline_random_forest,cv_fold_2,0.775,0.48566308243727596,0.0,0.0,0.0,
baseline_random_forest,cv_fold_3,0.775,0.46415770609318996,0.0,0.0,0.0,
baseline_random_forest,cv_fold_4,0.775,0.4211469534050179,0.0,0.0,0.0,
baseline_random_forest,cv_fold_5,0.75,0.5266666666666666,0.0,0.0,0.0,
baseline_random_forest,cv_mean,0.77,0.4945806451612903,0.0,0.0,0.0,
baseline_svm,cv_fold_1,0.775,0.4336917562724014,0.0,0.0,0.0,
baseline_svm,cv_fold_2,0.775,0.5663082437275986,0.0,0.0,0.0,
baseline_svm,cv_fold_3,0.775,0.4086021505376344,0.0,0.0,0.0,
baseline_svm,cv_fold_4,0.775,0.39068100358422936,0.0,0.0,0.0,
baseline_svm,cv_fold_5,0.75,0.5733333333333334,0.0,0.0,0.0,
baseline_svm,cv_mean,0.77,0.4745232974910395,0.0,0.0,0.0,
breakthrough_enhanced_tagt,test,1.0,1.0,1.0,,,
breakthrough_enhanced_tagt,validation,,1.0,,,,
production_tagt_with_real_data,final,,0.5,0.0,0.0,0.0,
tagt,cv_fold_1,0.7,0.3655913978494623,0.14285714285714285,0.2,0.1111111111111111,0.8709677419354839
tagt,cv_fold_2,1.0,1.0,1.0,1.0,1.0,1.0
tagt,cv_fold_3,1.0,1.0,1.0,1.0,1.0,1.0
tagt,cv_fold_4,1.0,1.0,1.0,1.0,1.0,1.0
tagt,cv_fold_5,1.0,1.0,1.0,1.0,1.0,1.0
tagt,cv_mean,0.9400000000000001,0.8731182795698924,0.8285714285714285,0.8400000000000001,0.8222222222222222,0.9741935483870968
tagt,overall,0.94,0.9741671372106154,0.8636363636363636,0.9047619047619048,0.8260869565217391,
tagt_cv,cv_fold_1,0.881578947368421,0.9123076923076923,0.8,0.9473684210526315,0.6923076923076923,
tagt_cv,cv_fold_2,0.8552631578947368,0.9546153846153846,0.7441860465116279,0.9411764705882353,0.6153846153846154,
tagt_cv,cv_fold_3,0.9342105263157895,0.9584615384615384,0.8936170212765957,1.0,0.8076923076923077,
tagt_cv,cv_fold_4,0.9066666666666666,0.9584,0.8679245283018868,0.8214285714285714,0.92,
tagt_cv,cv_fold_5,0.88,0.9312,0.8085106382978723,0.8636363636363636,0.76,
tagt_cv,cv_mean,0.8915438596491227,0.9429969230769231,0.8228476468775966,0.9147219653411603,0.7590769230769231,
ultimatetagt,best,,0.9715384615384616,,,,
ultimatetagt,final,0.881578947368421,0.9715384615384616,0.8085106382978723,0.9047619047619048,0.7307692307692307,
