model,split_type,std_meta,source_file_meta,data_type_meta
baseline_logistic_regression,cv_fold_1,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_logistic_regression,cv_fold_2,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_logistic_regression,cv_fold_3,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_logistic_regression,cv_fold_4,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_logistic_regression,cv_fold_5,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_logistic_regression,cv_mean,0.06764257528956011,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,aggregated
baseline_lstm,cv_fold_1,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_lstm,cv_fold_2,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_lstm,cv_fold_3,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_lstm,cv_fold_4,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_lstm,cv_fold_5,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_lstm,cv_mean,0.13359391809516474,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,aggregated
baseline_random_forest,cv_fold_1,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_random_forest,cv_fold_2,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_random_forest,cv_fold_3,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_random_forest,cv_fold_4,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_random_forest,cv_fold_5,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_random_forest,cv_mean,0.05279711945763574,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,aggregated
baseline_svm,cv_fold_1,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_svm,cv_fold_2,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_svm,cv_fold_3,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_svm,cv_fold_4,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_svm,cv_fold_5,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,individual
baseline_svm,cv_mean,0.07903194564263383,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\baseline_results.json,aggregated
breakthrough_enhanced_tagt,test,,C:\Users\ADMIN\OneDrive\Desktop\SLE\breakthrough_results.json,final
breakthrough_enhanced_tagt,validation,,C:\Users\ADMIN\OneDrive\Desktop\SLE\breakthrough_results.json,final
production_tagt_with_real_data,final,,C:\Users\ADMIN\OneDrive\Desktop\SLE\production_model_results.json,final
tagt,cv_fold_1,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\tagt_results.json,individual
tagt,cv_fold_2,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\tagt_results.json,individual
tagt,cv_fold_3,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\tagt_results.json,individual
tagt,cv_fold_4,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\tagt_results.json,individual
tagt,cv_fold_5,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\tagt_results.json,individual
tagt,cv_mean,0.2537634408602151,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\tagt_results.json,aggregated
tagt,overall,,C:\Users\ADMIN\OneDrive\Desktop\SLE\validation_plan\reports\tagt_results.json,aggregated
tagt_cv,cv_fold_1,,C:\Users\ADMIN\OneDrive\Desktop\SLE\results\cross_validation_results.json,individual
tagt_cv,cv_fold_2,,C:\Users\ADMIN\OneDrive\Desktop\SLE\results\cross_validation_results.json,individual
tagt_cv,cv_fold_3,,C:\Users\ADMIN\OneDrive\Desktop\SLE\results\cross_validation_results.json,individual
tagt_cv,cv_fold_4,,C:\Users\ADMIN\OneDrive\Desktop\SLE\results\cross_validation_results.json,individual
tagt_cv,cv_fold_5,,C:\Users\ADMIN\OneDrive\Desktop\SLE\results\cross_validation_results.json,individual
tagt_cv,cv_mean,0.018397793538916338,C:\Users\ADMIN\OneDrive\Desktop\SLE\results\cross_validation_results.json,aggregated
ultimatetagt,best,,C:\Users\ADMIN\OneDrive\Desktop\SLE\results\optimized_results.json,best
ultimatetagt,final,,C:\Users\ADMIN\OneDrive\Desktop\SLE\results\optimized_results.json,final
