,model,metric,count,mean,std,min,max,median
0,baseline_logistic_regression,acc,6,0.755,0.010000000000000009,0.75,0.775,0.75
1,baseline_logistic_regression,auc,6,0.4513189964157706,0.06764257528956011,0.36200716845878134,0.5433333333333333,0.4442974910394265
2,baseline_logistic_regression,f1,6,0.12380952380952381,0.11004019055515564,0.0,0.2857142857142857,0.14523809523809522
3,baseline_logistic_regression,prec,6,0.2333333333333333,0.2,0.0,0.5,0.2833333333333333
4,baseline_logistic_regression,recall,6,0.08444444444444445,0.07620634755325444,0.0,0.2,0.09777777777777777
5,baseline_lstm,acc,6,0.68,0.05567764362830022,0.575,0.725,0.69
6,baseline_lstm,auc,6,0.49483870967741933,0.13359391809516474,0.3189964157706093,0.7000000000000001,0.4678494623655914
7,baseline_lstm,f1,6,0.26852425180598555,0.14683382204287748,0.0,0.42105263157894735,0.30092879256965943
8,baseline_lstm,prec,6,0.2805555555555555,0.15375947225664496,0.0,0.4444444444444444,0.30694444444444446
9,baseline_lstm,recall,6,0.2577777777777777,0.14096668024136627,0.0,0.4,0.29555555555555557
10,baseline_random_forest,acc,6,0.77,0.010000000000000009,0.75,0.775,0.775
11,baseline_random_forest,auc,6,0.49458064516129024,0.05279711945763574,0.4211469534050179,0.5752688172043011,0.49012186379928313
12,baseline_random_forest,f1,6,0.0,0.0,0.0,0.0,0.0
13,baseline_random_forest,prec,6,0.0,0.0,0.0,0.0,0.0
14,baseline_random_forest,recall,6,0.0,0.0,0.0,0.0,0.0
15,baseline_svm,acc,6,0.77,0.010000000000000009,0.75,0.775,0.775
16,baseline_svm,auc,6,0.47452329749103944,0.07903194564263384,0.39068100358422936,0.5733333333333334,0.45410752688172046
17,baseline_svm,f1,6,0.0,0.0,0.0,0.0,0.0
18,baseline_svm,prec,6,0.0,0.0,0.0,0.0,0.0
19,baseline_svm,recall,6,0.0,0.0,0.0,0.0,0.0
20,breakthrough_enhanced_tagt,acc,1,1.0,,1.0,1.0,1.0
21,breakthrough_enhanced_tagt,auc,2,1.0,0.0,1.0,1.0,1.0
22,breakthrough_enhanced_tagt,f1,1,1.0,,1.0,1.0,1.0
23,production_tagt_with_real_data,auc,1,0.5,,0.5,0.5,0.5
24,production_tagt_with_real_data,f1,1,0.0,,0.0,0.0,0.0
25,production_tagt_with_real_data,prec,1,0.0,,0.0,0.0,0.0
26,production_tagt_with_real_data,recall,1,0.0,,0.0,0.0,0.0
27,tagt,acc,7,0.9400000000000001,0.10954451150103324,0.7,1.0,1.0
28,tagt,auc,7,0.8875538306614243,0.23478060512932813,0.3655913978494623,1.0,1.0
29,tagt,f1,7,0.8335807050092763,0.3132647979369607,0.14285714285714285,1.0,1.0
30,tagt,prec,7,0.8492517006802721,0.2931424416417294,0.2,1.0,1.0
31,tagt,recall,7,0.8227743271221531,0.32457961731665597,0.1111111111111111,1.0,1.0
32,tagt,spec,6,0.9741935483870968,0.05161290322580645,0.8709677419354839,1.0,1.0
33,tagt_cv,acc,6,0.8915438596491229,0.026825335892345318,0.8552631578947368,0.9342105263157895,0.8865614035087719
34,tagt_cv,auc,6,0.9429969230769232,0.01839779353891634,0.9123076923076923,0.9584615384615384,0.9488061538461539
35,tagt_cv,f1,6,0.8228476468775966,0.052830751928699696,0.7441860465116279,0.8936170212765957,0.8156791425877344
36,tagt_cv,prec,6,0.9147219653411603,0.063798700869114,0.8214285714285714,1.0,0.9279492179646978
37,tagt_cv,recall,6,0.7590769230769231,0.10331132933628707,0.6153846153846154,0.92,0.7595384615384615
38,ultimatetagt,acc,1,0.881578947368421,,0.881578947368421,0.881578947368421,0.881578947368421
39,ultimatetagt,auc,2,0.9715384615384616,0.0,0.9715384615384616,0.9715384615384616,0.9715384615384616
40,ultimatetagt,f1,1,0.8085106382978723,,0.8085106382978723,0.8085106382978723,0.8085106382978723
41,ultimatetagt,prec,1,0.9047619047619048,,0.9047619047619048,0.9047619047619048,0.9047619047619048
42,ultimatetagt,recall,1,0.7307692307692307,,0.7307692307692307,0.7307692307692307,0.7307692307692307
