Model,Metric,Mean,Std,Min,Max,Median,N_Folds
Random_Forest,AUC,0.6877,0.0390,0.6562,0.7544,0.6740,5
Random_Forest,Accuracy,0.6615,0.0392,0.6184,0.7067,0.6533,5
Random_Forest,F1,0.3963,0.0815,0.2778,0.4762,0.4103,5
Random_Forest,Precision,0.5082,0.0874,0.4211,0.6154,0.4615,5
Random_Forest,Recall,0.3354,0.0999,0.2000,0.4615,0.3077,5
SVM_RBF,AUC,0.5856,0.0559,0.5360,0.6688,0.5769,5
SVM_RBF,Accuracy,0.5821,0.0487,0.5263,0.6533,0.5658,5
SVM_RBF,F1,0.4166,0.0808,0.3529,0.5517,0.4000,5
SVM_RBF,Precision,0.3936,0.0608,0.3333,0.4848,0.3871,5
SVM_RBF,Recall,0.4462,0.1149,0.3600,0.6400,0.3846,5
Logistic_Regression,AUC,0.8506,0.0150,0.8277,0.8688,0.8504,5
Logistic_Regression,Accuracy,0.8121,0.0367,0.7763,0.8684,0.8026,5
Logistic_Regression,F1,0.7204,0.0432,0.6792,0.7826,0.7234,5
Logistic_Regression,Precision,0.7394,0.0995,0.6667,0.9000,0.6800,5
Logistic_Regression,Recall,0.7105,0.0547,0.6800,0.8077,0.6923,5
Simple_LSTM,AUC,0.5100,0.0224,0.5000,0.5500,0.5000,5
Simple_LSTM,Accuracy,0.6614,0.0048,0.6579,0.6667,0.6579,5
Simple_LSTM,F1,0.0000,0.0000,0.0000,0.0000,0.0000,5
Simple_LSTM,Precision,0.0000,0.0000,0.0000,0.0000,0.0000,5
Simple_LSTM,Recall,0.0000,0.0000,0.0000,0.0000,0.0000,5
TAGT,AUC,0.9371,0.0210,0.9031,0.9531,0.9488,5
TAGT,Accuracy,0.8916,0.0339,0.8421,0.9342,0.8933,5
TAGT,F1,0.8285,0.0586,0.7391,0.8980,0.8302,5
TAGT,Precision,0.8887,0.0616,0.8148,0.9565,0.8750,5
TAGT,Recall,0.7812,0.0892,0.6538,0.8462,0.8400,5
