,degree_centrality,eigenvector_centrality,betweenness_centrality,clustering_coefficient
GENE_0,0.3333333333333333,0.3504008551315046,0.10158682668980887,0.7637261753059015
GENE_1,0.345679012345679,0.35546620827564734,0.11641742436604849,0.7174688057040998
GENE_2,0.24691358024691357,0.28341447841271133,0.051165749459248726,0.831447963800905
GENE_3,0.3333333333333333,0.31942108372375144,0.11164071411181267,0.511948315314945
GENE_4,0.32716049382716045,0.34136421821636564,0.0978470430041613,0.7320925467429352
GENE_5,0.3024691358024691,0.3033475016368048,0.09465149485441754,0.5718954248366013
GENE_6,0.3395061728395062,0.3395040844085692,0.1110251143129631,0.671255034000132
GENE_7,0.32098765432098764,0.3379869606941178,0.09641829135025028,0.7336305562949161
GENE_8,0.27777777777777773,0.28144005033432345,0.07213667266209524,0.691473559120618
GENE_9,0.3395061728395062,0.36451742504121926,0.10723774709019315,0.7683039545784643
GENE_10,0.23456790123456792,0.24310808123192895,0.05124630556711762,0.5466767076674198
GENE_11,0.27777777777777773,0.2807354336393686,0.07643386127938949,0.7885224796989504
GENE_12,0.32098765432098764,0.33682874500243065,0.09443980119161209,0.6340017153165942
GENE_13,0.25925925925925924,0.2881906025904659,0.05978504533454308,0.7950741272118603
GENE_14,0.27777777777777773,0.3013513215030549,0.06781112686246354,0.7885224796989504
GENE_15,0.3333333333333333,0.3206936189390606,0.11146954394806749,0.5706964826461682
GENE_16,0.345679012345679,0.3547484351016134,0.11280947822264208,0.6706773618538324
GENE_17,0.32098765432098764,0.3146211412056935,0.10120560216425191,0.5977730458699316
GENE_18,0.37654320987654316,0.4027766824404761,0.12708486441802738,0.6562734383370834
GENE_19,0.35802469135802467,0.3925108884515689,0.11448245877926116,0.6538913205935731
GENE_20,0.27777777777777773,0.28551998581240595,0.07198084386627938,0.6065557536145771
GENE_21,0.3148148148148148,0.3386410059758267,0.08572474632512773,0.7535563244905805
GENE_22,0.27777777777777773,0.29377882398729815,0.07177573526156758,0.7036046741929095
GENE_23,0.2716049382716049,0.27462132955838686,0.06745259624888453,0.7744165319404717
GENE_24,0.3148148148148148,0.3289368989829225,0.0924581861985815,0.6122645136485967
GENE_25,0.3395061728395062,0.34270084270530415,0.10715612622181102,0.5499438832772167
GENE_26,0.32098765432098764,0.3344444865447251,0.09782009220475459,0.7064590542099193
GENE_27,0.29012345679012347,0.3310414336417106,0.07425292490663464,0.7221436215559305
GENE_28,0.2716049382716049,0.29597308258275573,0.06828394132217386,0.723635120009949
GENE_29,0.29012345679012347,0.30284067373596213,0.08051316920674786,0.7554733271662042
GENE_30,0.23456790123456792,0.24136328778101973,0.051124516062239805,0.5979276490112403
GENE_31,0.3148148148148148,0.328248308664877,0.09592182209609522,0.7064590542099193
GENE_32,0.2037037037037037,0.19500865457321062,0.0431143382776954,0.5686460190136661
GENE_33,0.4012345679012346,0.4220780752510351,0.1470018167791114,0.7275169683257918
GENE_34,0.29012345679012347,0.3069083379974155,0.0778650420183986,0.6221545047251092
GENE_35,0.30864197530864196,0.32150332548971,0.08636124014084483,0.6568627450980392
GENE_36,0.3024691358024691,0.3075846095820855,0.08784487817997175,0.6433823529411764
GENE_37,0.25925925925925924,0.2524601059337858,0.06700994768558131,0.6695361071257772
GENE_38,0.2962962962962963,0.31624095076896025,0.0807742604493099,0.6814073146989292
GENE_39,0.36419753086419754,0.38376033869719395,0.1224305906674549,0.6738405473235466
GENE_40,0.32098765432098764,0.32401821437164396,0.09710454641505716,0.6702303847632568
GENE_41,0.3024691358024691,0.3147163001967418,0.08750748847746526,0.7046568627450981
GENE_42,0.37037037037037035,0.38181145546362055,0.1273947690265044,0.7463719951257339
GENE_43,0.27777777777777773,0.2717930988400102,0.07424134719049855,0.5459001782531194
GENE_44,0.2839506172839506,0.28477321578556003,0.07410388552322893,0.7890499194847022
GENE_45,0.2839506172839506,0.28723185434083964,0.07489689965826586,0.6962205171923842
GENE_46,0.2839506172839506,0.3090494645081006,0.07181060120719386,0.7658425689116226
GENE_47,0.25925925925925924,0.2707694804331089,0.07115993170619148,0.809022796110314
GENE_48,0.32716049382716045,0.3742728108270284,0.09262615360115778,0.8192464213551894
GENE_49,0.345679012345679,0.34710562262610156,0.11541569434764232,0.5770944741532977
GENE_50,0.23456790123456792,0.2519094041147639,0.05200057389206995,0.7858477672719159
GENE_51,0.24074074074074073,0.2331480255366805,0.056369776937105195,0.5510571300044985
GENE_52,0.9074074074074073,0.879564484092734,0.8449165152609814,0.5696570865789238
GENE_53,0.36419753086419754,0.387867666496823,0.12164398881060175,0.6598022025876394
GENE_54,0.22839506172839505,0.24183324113083016,0.047419575810303885,0.46885120414532183
GENE_55,0.2962962962962963,0.3113653223341026,0.08097080900878631,0.7239952718676123
GENE_56,0.32716049382716045,0.34925559048318966,0.09798790607810504,0.8366771962776401
